Character,Line Count,Dialogue Duration (sec),Wookieepedia Article,Gender,Movie,Word Count
Qui-Gon,283,782.417,https://starwars.fandom.com/wiki/Qui-Gon_Jinn,Male,The Phantom Menace,1866
Jar Jar,209,563.077,https://starwars.fandom.com/wiki/Jar_Jar_Binks,Male,The Phantom Menace,731
Anakin,196,533.289,https://starwars.fandom.com/wiki/Anakin_Skywalker,Male,The Phantom Menace,1077
Padmé,142,378.079,https://starwars.fandom.com/wiki/Padm%C3%A9_Amidala,Female,The Phantom Menace,909
Palpatine,91,276.332,https://starwars.fandom.com/wiki/Darth_Sidious,Male,The Phantom Menace,647
Kenobi,82,227.537,https://starwars.fandom.com/wiki/Obi-Wan_Kenobi,Male,The Phantom Menace,531
Watto,74,216.709,https://starwars.fandom.com/wiki/Watto,Male,The Phantom Menace,449
Nute,62,191.208,https://starwars.fandom.com/wiki/Nute_Gunray,Male,The Phantom Menace,422
Panaka,53,144.747,https://starwars.fandom.com/wiki/Quarsh_Panaka,Male,The Phantom Menace,344
R2-D2,51,133.916,https://starwars.fandom.com/wiki/R2-D2,Male,The Phantom Menace,0
Shmi,50,135.373,https://starwars.fandom.com/wiki/Shmi_Skywalker_Lars,Female,The Phantom Menace,253
Boss Nass,44,128.622,https://starwars.fandom.com/wiki/Rugor_Nass,Male,The Phantom Menace,146
Yoda,40,110.707,https://starwars.fandom.com/wiki/Yoda,Male,The Phantom Menace,206
Fode,39,120.459,https://starwars.fandom.com/wiki/Fodesinbeed_Annodue,Male,The Phantom Menace,277
C-3PO,27,76.498,https://starwars.fandom.com/wiki/C-3PO,Male,The Phantom Menace,160
Sebulba,27,63.415,https://starwars.fandom.com/wiki/Sebulba,Male,The Phantom Menace,72
Mace,23,59.042,https://starwars.fandom.com/wiki/Mace_Windu,Male,The Phantom Menace,163
Sabé,18,51.166,https://starwars.fandom.com/wiki/Sab%C3%A9,Female,The Phantom Menace,102
Ric Olie,18,48.792,https://starwars.fandom.com/wiki/Ric_Oli%C3%A9,Male,The Phantom Menace,104
Bibble,17,44.289,https://starwars.fandom.com/wiki/Sio_Bibble,Male,The Phantom Menace,102
Tarpals,17,42.666,https://starwars.fandom.com/wiki/Roos_Tarpals,Male,The Phantom Menace,65
Beed,15,42.625,https://starwars.fandom.com/wiki/Fodesinbeed_Annodue,Male,The Phantom Menace,73
Rune,14,38.584,https://starwars.fandom.com/wiki/Rune_Haako,Male,The Phantom Menace,86
Kitster,11,29.626,https://starwars.fandom.com/wiki/Kitster_Banai,Male,The Phantom Menace,48
Daultay Dofine,10,26.251,https://starwars.fandom.com/wiki/Daultay_Dofine,Male,The Phantom Menace,52
Oom-9,10,24.167,https://starwars.fandom.com/wiki/OOM-9,Male,The Phantom Menace,50
Valorum,9,27.917,https://starwars.fandom.com/wiki/Finis_Valorum,Male,The Phantom Menace,85
TC-14,8,19.793,https://starwars.fandom.com/wiki/TC-14,Female,The Phantom Menace,37
Jabba,7,17.376,https://starwars.fandom.com/wiki/Jabba_Desilijic_Tiure,Male,The Phantom Menace,7
Tey How,7,20.917,https://starwars.fandom.com/wiki/Tey_How,Female,The Phantom Menace,40
Maul,6,14.791,https://starwars.fandom.com/wiki/Maul,Male,The Phantom Menace,33
Eopie,5,11.374,https://starwars.fandom.com/wiki/Eopie,Unknown gender,The Phantom Menace,0
Lott Dod,5,13.875,https://starwars.fandom.com/wiki/Lott_Dod,Male,The Phantom Menace,30
Pit Droid,5,11.207,https://starwars.fandom.com/wiki/DUM-series_pit_droid,Unknown gender,The Phantom Menace,1
Wald,4,9.958,https://starwars.fandom.com/wiki/Wald,Male,The Phantom Menace,11
Gungan,4,7.624,https://starwars.fandom.com/wiki/Gungan,Unknown gender,The Phantom Menace,7
Maoi Madakor,4,10.459,https://starwars.fandom.com/wiki/Maoi_Madakor,Female,The Phantom Menace,18
Kaadu,4,9.792,https://starwars.fandom.com/wiki/Kaadu,Unknown gender,The Phantom Menace,0
2163,4,10.084,https://starwars.fandom.com/wiki/2163,Male,The Phantom Menace,16
Ben Quadrinaros,3,6.5,https://starwars.fandom.com/wiki/Ben_Quadinaros,Male,The Phantom Menace,5
Ki-Adi-Mundi,3,9.333,https://starwars.fandom.com/wiki/Ki-Adi-Mundi,Male,The Phantom Menace,21
Sando aqua monster,3,7,https://starwars.fandom.com/wiki/Sando_aqua_monster,Unknown gender,The Phantom Menace,0
Rabé,3,8.792,https://starwars.fandom.com/wiki/Rab%C3%A9,Female,The Phantom Menace,19
Naboo Creatures,3,10.875,https://starwars.fandom.com/wiki/Naboo,Unknown gender,The Phantom Menace,0
Gragra,3,4.999,https://starwars.fandom.com/wiki/Gragra,Female,The Phantom Menace,13
Ody Mandrell,3,7.458,https://starwars.fandom.com/wiki/Ody_Mandrell,Male,The Phantom Menace,2
Aks Moe,3,7.208,https://starwars.fandom.com/wiki/Aks_Moe,Male,The Phantom Menace,18
Arven Wendik,3,9.167,https://starwars.fandom.com/wiki/Arven_Wendik,Male,The Phantom Menace,13
Senators,3,7.625,https://starwars.fandom.com/wiki/Galactic_Senate,Unknown gender,The Phantom Menace,12
Naboo Pilot,2,3.792,https://starwars.fandom.com/wiki/Naboo_Royal_Space_Fighter_Corps,Unknown gender,The Phantom Menace,2
Mas Amedda,2,5.833,https://starwars.fandom.com/wiki/Mas_Amedda,Male,The Phantom Menace,4
Tusken Raiders,2,4,https://starwars.fandom.com/wiki/Tusken_Raider,Unknown gender,The Phantom Menace,0
Gungans,2,5.959,https://starwars.fandom.com/wiki/Gungan,Unknown gender,The Phantom Menace,0
Dineé Ellberger,2,3.709,https://starwars.fandom.com/wiki/Dine%C3%A9_Ellberger,Female,The Phantom Menace,11
Seek,2,5.542,https://starwars.fandom.com/wiki/Seek,Male,The Phantom Menace,16
Jira,2,6.834,https://starwars.fandom.com/wiki/Jira,Female,The Phantom Menace,14
